ClauseLikeUnit(CLU)-value,Region,D/H,Age,Gender,Negation,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,LitTransl-value,FreeTransl-value,Duration,N-function-value,N-manual-value,N-nonmanual-value,N-position-value,HeadNegationStudy-value,HS,CA-value,MouthGestF-value,Mouthing-value,MouthingNegation-value,RH-IDgloss-value,LH-IDgloss-value,Comments-value,regularity
BL09F45WHC_CLU#122,Bristol,hearing,45,F,Negated clause,Single,NA,NA,(we/me) not-understand,I couldn't understand the teacher and waited for her to finish talking to the rest of the class.,478,Neg/declarative,Single,Present,other,HS,Present,CA:SIGNER,CA:PRESSED-LIPS,NA,Absent,"G:WELL, NOT-UNDERSTAND","G:WELL, NOT-UNDERSTAND","TJ: COULD PUT ONE OF THE CLOSED MOUTH CODES HERE (""MMM"" GROUP), AS I EXPLAINED CAN BE USEFUL LATER TO SHOW THAT THE MG OCCURS 'GESTURALLY' TOO, NOT JUST 'ADVERBIALLY'. enactment, emphasis? DIFFICULT TO SUM UP IN A WORD OR TWO THE CA TYPES SHE IMPLIES TO ME SHE IS ""PUTTING UP WITH IT ALL"" ",?
BL09F45WHC_CLU#127,Bristol,hearing,45,F,Negated clause,Single,NA,NA,(well we) not-understand,We still didn't understand anything!,683,Neg/declarative,Single,Present,other,HS,Present,CA:SIGNER,CA:PRESSED-LIPS,NA,Absent,"G:WELL, NOT-UNDERSTAND, G:WELL","G:WELL, NOT-UNDERSTAND, G:WELL","TJ: MouthGestM is DIFFICULT TO SUM UP IN A WORD OR TWO THE CA TYPES SHE IMPLIES TO ME SHE IS ""PUTTING UP WITH IT ALL""",?
BL09F45WHC_CLU#128,Bristol,hearing,45,F,Negated clause,Single,NA,NA,well (no we didn't have) one/well (no there was no-) one,"Well, (there was) no-one!",1083,Neg/response,Absent,Present,None,HS,Present,NA,NA,no(one),Single,G:WELL,"G:WELL, ONE, G:WELL",NA,Regular
BL09F45WHC_CLU#144,Bristol,hearing,45,F,Negated clause,Single,NA,NA,me well nothing (me not taught/have anything),Whereas I had nothing.,1151,Neg/response,Single,Present,other,HS,Present,NA,PRESSED-LIPS,NA,Absent,"PT:PRO1SG, G:WELL, NOTHING",G:WELL,TJ: EDITORIAL? I'D USE JUST 'EXPRESSION' FOR THISE KINDS EXACTLY WHAT THE EXPRESSION IS HARD TO SUM UP,Regular
BL09F45WHC_CLU#145,Bristol,hearing,45,F,Negated clause,Single,NA,NA,well me nothing (not good at maths/not taught by anyone),"Ah well, I didn't have anything.",1040,Neg/response,Single,Present,other,HS,Present,NA,PRESSED-LIPS,NA,Absent,"PT:PRO1SG, G:WELL, NOTHING","G:WELL, G:WELL, NOTHING",TJ: EDITORIAL? I'D USE JUST 'EXPRESSION' FOR THISE KINDS EXACTLY WHAT THE EXPRESSION IS HARD TO SUM UP,Regular
BL09F45WHC_CLU#165,Bristol,hearing,45,F,Negated clause,Single,NA,NA,now (the friendship/the person) not-there,That person was nice but we've lost touch with each other. ,1206,Neg/declarative,Absent,Present,None,"NHS, HS1, NHS, HS",Present,NA,CWF,NA,Absent,"NOW, DISAPPEAR, G:WELL, G(NMS):NO",DISAPPEAR,NA,Regular
BL10F44WHC_CLU#005,Bristol,hearing,44,F,Negated clause,Depend,NA,independent,"(no they) not-here (not coming here, dissipated)",Now they have all gone.,702,Neg/response,Absent,Present,None,HS,Present,NA,PRESSED-LIPS,NA,Absent,DISAPPEAR,DISAPPEAR,"TJ: DOWN group, frown phenomenon again. negative & EMPHASIS? GH: Internal response frame?",Regular
BL10F44WHC_CLU#011,Bristol,hearing,44,F,Negated clause,Single,NA,NA,(now) deaf club disappearing (not exist) you-know,I reckon we've now shifted to a routine of visiting each other at our homes instead of the deaf clubs.,2339,Neg/declarative,Absent,Present,None,"NHS, HS",Present,NA,PRESSED-LIPS,"deaf, club",Absent,"DEAF(FALSE-START), DEAF, CLUB, DISAPPEAR, G(NMS):NO","CLUB, DISAPPEAR, PT:PRO1SG, G:WELL",NA,Regular
BL21M37BHC_CLU#007,Bristol,hearing,37,M,Non-negated clause,Single,NA,NA,me investigated (that and) saw nothing me,I haven't come across it in my search. ,1405,NA,Single,Absent,None,NHS,Absent,NA,PRESSED-LIPS,NA,Absent,"PT:PRO1SG, RESEARCH, LOOK, NOTHING, PT:PRO1SG","RESEARCH, NOTHING","JF: could be without UG SS: have ""half eyegaze link to path"" ??eyegazeonly??? , AS I this is the second clause of 2 CLUs rather than 1",Regular
BL21M37BHC_CLU#015,Bristol,hearing,37,M,Negated clause,Single,NA,NA,well me don't-know,"The name doesn't ring any bells but if I met him, I may recognise him. ",449,Neg/response,Single,Present,other,HS,Present,NA,PRESSED-LIPS,NA,Absent,"G:WELL, PT:PRO1SG, KNOW-NOT",G:WELL,NA,Irregular
BL21M37BHC_CLU#030,Bristol,hearing,37,M,Negated clause,SharedCecho,NA,NA,no (training for deaf actors existed)/(there was) nothing,"There was nothing, right.",819,Neg/response,Single,Present,other,HS,Present,NA,PRESSED-LIPS,NA,Absent,NOTHING,NOTHING,NA,Regular
BL21M37BHC_CLU#057,Bristol,hearing,37,M,Negated clause,Embed,contained,NA,that time me (in) school me not-like drama (class/subject),However it must be said that it's ironic as I never liked drama as a schoolboy!,2342,Neg/declarative,Single,Present,other,"NHS, HS",Present,NA,PRESSED-LIPS,"that-regr, that, school, school-prog, drama",Absent,"PT:DET, TIME, PT:PRO1SG, SCHOOL, PT:PRO1SG, G:WELL, PT:PRO1SG, LIKE-NOT, THEATRE","TIME, THEATRE",NA,Irregular
BL21M37BHC_CLU#109,Bristol,hearing,37,M,Negated clause,Single,NA,NA,then they disappeared not-around-anymore right,And they dispersed after that.,2195,Neg/declarative,Absent,Present,None,"NHS, HS",Present,NA,PRESSED-LIPS ,NA,Absent,"NEXT, PT:PRO3SG, DISAPPEAR, G:WELL, ATMOSPHERE, G:RIGHT","DISAPPEAR, G:WELL, ATMOSPHERE, G:RIGHT",NA,Regular
BL22M43WHC_CLU#005,Bristol,hearing,43,M,Negated clause,Single,NA,NA,(you before) heard (of) them (no)?,Haven't you heard of it?,930,Neg/interrogative,Absent,Present,None,HS,Present,NA,NA,before heard,Absent,"BEFORE02, PT:PRO3SG",FBUOY,AS: wrong IDgloss,Regular
BL22M43WHC_CLU#010,Bristol,hearing,43,M,Negated clause,Single,NA,NA,(oh it is) not-there (disappeared),Oh it has gone now.,1490,Neg/response,Absent,Present,None,"HS, Nod1",Present,NA,PRESSED-LIPS,NA,Absent,"DISAPPEAR, G:WELL",DISAPPEAR,NA,Regular
BL22M43WHC_CLU#039,Bristol,hearing,43,M,Negated clause,SharedCecho,NA,NA,Switch? no (she was not involved in that show),No she wasn't involved.,2250,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),HS,Present,NA,NA,"Switch, no",Single,"SWITCH-BBC, NO",PBUOY,NA,Regular
BL22M43WHC_CLU#042,Bristol,hearing,43,M,Negated clause,Single,NA,NA,(she is) not deaf no,"The hearing one, not the deaf one.",940,Neg/response,Multiple,Present,reprise (clause-final),HS,Present,NA,NA,"not, deaf",Single,"NO, DEAF, NO",NA,NA,Regular
BL22M43WHC_CLU#067,Bristol,hearing,43,M,Negated clause,Single,NA,NA,that time training for deaf well me-look-around there-was-nothing,There wasn't much opportunities for deaf people back then.,2990,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS, NHS",Present,CA:SIGNER,PRESSED-LIPS,"that, time, train(ing), for deaf",Absent,"PT:DET/PAST, TIME, G:WELL, PRACTISE, G:WELL, NOTHING","TIME, G:WELL, PRACTISE, DEAF, G:WELL, NOTHING","SG: should incl. G: signs as part of CA articulators? GH: have added this to discussion list in doc on server - please action here, whatever we decided",Regular
BL22M43WHC_CLU#074,Bristol,hearing,43,M,Negated clause,Single,NA,NA,not deaf school no (it was not the deaf school),It wasn't the deaf school but the university one. ,620,Neg/response,Multiple,Present,reprise (clause-final),HS,Present,NA,NA,"not, deaf, school",Single,"NO, DEAF, NO",NA,NA,Regular
BL22M43WHC_CLU#082,Bristol,hearing,43,M,Negated clause,Single,NA,NA,director me no (but I wasn't a director),I wasn't a director though.,930,Neg/response,Absent,Present,None,HS,Present,NA,NA,di(rector),Absent,"BOSS, PT:PRO1SG","BOSS, BUT",GH: TJ checked negation,Regular
BL29F55WDC_LH_CLU#028,Bristol,deaf,55,F,Negated clause,Single,NA,NA,they (not have) mobile-phone/texting nothing,I wonder how they did it in the past without any technology to alert their time to light their beacon? ,1380,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"HS, NHS, HS",Present,NA,NA,"mobile, nothing",Single,NOTHING,"PT:, MOBILE-PHONE, NOTHING",NA,Regular
BL29F55WDC_LH_CLU#044,Bristol,deaf,55,F,Negated clause,Single,NA,NA,nothing (there were no) bonfires nothing? (not have any bonfires?),So there weren't any bonfires this time then?,2620,Neg/interrogative,Multiple,Present,reprise (clause-final),"HS, NHS",Present,NA,NA,"nothing, bonfires, nothing",Multiple,"NOTHING, MATCHES, NOTHING","NOTHING, MATCHES, NOTHING",NA,Regular
BL29F55WDC_LH_CLU#075,Bristol,deaf,55,F,Non-negated clause,Single,NA,NA,those places like nobody touch-there special-unique,"Take the Phillippines and Cambodia for instance, these countries were virgin countries but now have become commercialised.  ",3250,NA,Single,Present,pre-predicate,"NHS, HS, NHS",Present,NA,NA,nobody,Single,"AREA, SAME, NOTHING, TOUCH02","PT:DET, AREA, SAME, NOTHING, TOUCH02, INDECIPHERABLE(FALSE-START)",NA,Regular
BL29F55WDC_LH_CLU#109,Bristol,deaf,55,F,Negated clause,Single,NA,NA,(me) don't-want that!,That's not what I want.,1820,Neg/imperative,Absent,Present,other,"HS1, NHS",Present,NA,NA,"don't want, that",Single,NA,"WANT, PT:PRO3SG, G:WELL",NA,Regular
BL29F55WDC_LH_CLU#133,Bristol,deaf,55,F,Negated clause,Single,NA,NA,what (they not) eat nothing (not) drink nothing?,Didn't they eat or drink but just watched you? ,2080,Neg/interrogative,Multiple,Present,reprise (clause-final),"NHS, HS, HS?",Present,NA,PRESSED-LIPS,"what, eat, drink, nothing",Single,NOTHING,"WHAT, EAT, NOTHING, DRINK, NOTHING",NA,Regular
BL29F55WDC_LH_CLU#140,Bristol,deaf,55,F,Negated clause,EmbedDepend,contained,independent,(they) not change through (tourism),We need small towns to keep their niche market and to continue their traditions. ,1460,Neg/declarative,Single,Present,pre-predicate,"HS1, NHS",Present,NA,NA,"not, change, through",Single,"NO, CHANGE, THROUGH","NO, CHANGE, THROUGH",NA,Regular
BL29F55WDC_LH_CLU#151,Bristol,deaf,55,F,Negated clause,Single,NA,NA,well (we) not-understand listed-items whatted look-up-confused,We couldn't understand what was on the menu.,2233,Neg/declarative,Single,Present,other,"NHS, HS",Present,CA:SIGNER+HUSBAND ,SYLL:POOH,NA,Absent,"G:WELL, NOT-UNDERSTAND, LIST","G:WELL, NOT-UNDERSTAND, LIST, WHAT, G:CA:HOLD-MENU",NA,?
BL30M65WDC_CLU#028,Bristol,deaf,65,M,Negated clause,Single,NA,NA,(they) won't accept it/that/us,It was because my ex-wife was still alive and they wouldn't accept our request. ,1580,Neg/declarative,Single,Present,pre-predicate,HS,Present,NA,NA,"won't, accept, accept-prog",Single,"WILL-NOT, ACCEPT, PT:PRO3SG",NA,JF: UG could be removed,Irregular
BL30M65WDC_CLU#041,Bristol,deaf,65,M,INDEFINITE,Single,NA,NA,(other side candle) nothing-there (not lit/not burn),"In the marriage, there would be one candle burning out of the two so the congregation would know who was a Catholic. ",946,Neg/declarative,Single,Present,other,NHS,Absent,NA,NA,nothing,Single,NA,NOTHING,AS: Hmm. Do we say that this is a positive declarative: 'there was nothing there'. It could be negated. I agree it's indefinite.,Regular
BL30M65WDC_CLU#044,Bristol,deaf,65,M,INDEFINITE,Single,NA,NA,should not/should do-nothing (not show difference)/should (have) nothing (no candles),"I think it's a bad attitude, there should be none regardless. ",1765,Neg/imperative,Single,Absent,post-predicate (non-reprise & clause-final),HS,Present,NA,NA,should,Absent,"SHOULD, NOTHING","SHOULD, NOTHING",AS: I agree this is indefinite. Hard to tell whether it's 'they shouldn't do that' or 'they should do nothing',Regular
BL30M65WDC_CLU#052,Bristol,deaf,65,M,Negated clause,Single,NA,NA,(me could not) believe (it) me,I couldn't believe it.,1141,Neg/declarative,Absent,Present,None,HS,Present,NA,NA,couldn't believe,Single,"BELIEVE, PT:PRO1SG",BELIEVE,NA,Regular
BL30M65WDC_CLU#053,Bristol,deaf,65,M,Negated clause,Depend,NA,independent,(me) think nothing (not different to England),I didn't think much of it but it was completely different. ,1375,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),HS1,Present,NA,NA,"think, nothing",Single,"THINK, NOTHING",NA,NA,Regular
BL30M65WDC_CLU#063,Bristol,deaf,65,M,Negated clause,Single,NA,NA,well (me don't know) me (don't know) why,I don't know... I don't know why but I think its..  I think it's because my wife's family is well known.,2633,Neg/response,Absent,Present,None,HS,Present,NA,NA,"I don't know, I don't know, why",Multiple,"G:WELL, PT:, WHY",G:WELL,NA,Regular
BL30M65WDC_CLU#096,Bristol,deaf,65,M,Negated clause,Single,NA,NA,why? me don't-know/no-idea,They were staring at us really hard and we were clueless as to why. ,2126,Neg/response,Absent,Present,None,HS,Present,NA,PRESSED-LIPS,why,Absent,"WHY, PT:PRO1SG, G:WELL",NA,GH: internal question-response frame,Regular
BL30M65WDC_CLU#098,Bristol,deaf,65,M,Negated clause,Single,NA,NA,me -- Annette with-me/there not-allowed!,Annette wasn't allowed to come along with me.,3306,Neg/imperative,Absent,Present,None,NHS,Absent,NA,NA,"Annette, not allowed",Single,"PT:PRO1SG, SN:INDECEIPHERABLE(FS:INDECIPHERABLE(A)), ALLOW","SN:INDECEIPHERABLE(FS:INDECIPHERABLE(A)), PT:DET, PBUOY",NA,Regular
BL30M65WDC_CLU#099,Bristol,deaf,65,M,Negated clause,Single,NA,NA,forbidden! (absolutely not allowed),It wasn't accepted and there we were before the landlord. ,1053,Neg/imperative,Single,Present,other,HS1,Present,NA,PRESSED-LIPS,NA,Absent,NOT,NOT,NA,Regular
BL30M65WDC_CLU#110,Bristol,deaf,65,M,Negated clause,Single,NA,NA,they (won't) accept (Annette or women in pub),They wouldn't accept Annette.,1180,Neg/declarative,Absent,Present,None,HS,Present,NA,NA,won't accept,Single,"PT:PRO3SG, ACCEPT",ACCEPT,NA,Regular
BL30M65WDC_CLU#111,Bristol,deaf,65,M,Negated clause,Single,NA,NA,women (not allowed) inside pub/(no) women in pub,Women weren't allowed in the pub.,1395,Neg/declarative,Absent,Present,None,HS,Present,NA,NA,"women, in, pub",Absent,"GIRL, GO-IN, DRINK",GO-IN,TJ checked negation,Regular
BL30M65WDC_CLU#121,Bristol,deaf,65,M,Negated clause,Single,NA,NA,no (bonfires lit) there/(bonfires) nothing-lit there,They didn't light any bonfires.,2360,Neg/response,Single,Present,other,HS,Present,NA,NA,nothing,Single,"NOTHING, PT:PRO3SG/PT:LOC",NA,"GH: signer mouths English NEG on PT sign after NOTHING, i.e. sign/mouthing non-congruence",Regular
BL30M65WDC_CLU#122,Bristol,deaf,65,M,Negated clause,Single,NA,NA,(no) nothing (lit there/no bonfires lit there),No bonfires at all.,1014,Neg/response,Single,Present,other,HS,Present,NA,NA,nothing,Single,NOTHING,NA,NA,Regular
BL30M65WDC_CLU#126,Bristol,deaf,65,M,Non-negated clause,Single,NA,NA,that-way-up-there main road (there was) nothing,There weren't any bonfires down the main road.,3462,NA,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS, NHS",Present,NA,NA,"there, main, road, nothing",Single,"FS:M-MAIN, STREET, NOTHING","PT:LOC, FS:M-MAIN, STREET",SG: tracing sign = DSS?,Regular
BL30M65WDC_CLU#134,Bristol,deaf,65,M,Negated clause,Embed,contained,NA,no! (forbidden),It was only the one pub which wouldn't accept female punters.,624,Neg/imperative,Single,Present,other,HS1,Present,CD:PUB-LANDLORD,NA,no,Single,NOT,NOT,SG: gestural behaviour from pub landlord? so have put domhand as a CAarticulator GH: yeah but we need to analyse IDgloss with CA so I think no domhand put here?,Regular
BL30M65WDC_CLU#137,Bristol,deaf,65,M,Negated clause,Single,NA,NA,"(they say) ""out! no women there (allowed) in (pub)"" (women not allowed in pub)",They do not want any women in their pub. ,2312,Neg/imperative,Single,Present,other,HS,Present,CD:FARMERS,NA,"ou(t), no, women",Single,"G:WELL, INDECIPHERABLE(FALSE-START), NOT, GIRL, PT:PRO3SG, FROM-TO",NOT,NA,Regular
BM05M52WHC_CLU#028,Birmingham,hearing,52,M,Negated clause,Single,NA,NA,(me) not-know what (the other episodes are like),The second is next week and the third is the week after but I don't know what they will be like.,710,Neg/declarative,Single,Present,other,"HS, NHS",Present,NA,PRESSED-LIPS,NA,Absent,"KNOW-NOT, WHAT",FIRST,NA,Irregular
BM05M52WHC_CLU#078,Birmingham,hearing,52,M,Negated clause,DependEmbed,NA,dependent,(if) you (do not),I've got something on you. ,310,Neg/declarative,Absent,Present,None,HS,Present,CD:SADDAM-HUSSEIN,NA,if,Absent,PT:PRO3SG,PT:,NA,Regular
BM05M52WHC_CLU#087,Birmingham,hearing,52,M,Negated clause,Single,NA,NA,them-there-right-row not-know (anything about the previous night talk),And those on the right didn't know.,1470,Neg/declarative,Single,Present,other,"NHS, HS",Present,NA,PRESSED-LIPS,NA,Absent,"PT:FBUOY, KNOW-NOT","FBUOY, KNOW-NOT",NA,Irregular
BM06F56WDC_CLU#007,Birmingham,deaf,56,F,Negated clause,Single,NA,NA,(no) cannot (watch) fourth-one (fourth episode),I've missed the first one so I can't catch up. ,670,Neg/response,Single,Present,other,"HS1, NHS",Present,NA,NA,can't,Single,"CAN-NOT, MODIFY-BUOY","LBUOY-FOUR02, LBUOY-THREE",NA,Irregular
BM06F56WDC_CLU#009,Birmingham,deaf,56,F,Negated clause,Single,NA,NA,not-know me,I don't know about that.,850,Neg/response,Single,Present,other,HS,Present,NA,NA,UNSURE,Absent,"KNOW-NOT, PT:PRO1SG",NA,NA,Irregular
BM06F56WDC_CLU#043,Birmingham,deaf,56,F,Negated clause,Single,NA,NA,(me) not-know me,I didn't know.,840,Neg/response,Single,Present,other,HS,Present,NA,NA,"i didn't know, know-prog",Single,"KNOW-NOT, PT:PRO1SG",NA,NA,Irregular
BM06F56WDC_CLU#049,Birmingham,deaf,56,F,Negated clause,Single,NA,NA,so doesn't matter (if I didn't watch it live),"I should have recorded it, so it wouldn't have mattered! ",590,Neg/declarative,Single,Present,other,HS,Present,NA,NA,"doesn't, matter",Single,"G:WELL, PROBLEM-NOT","G:WELL, PROBLEM-NOT",NA,?
BM06F56WDC_CLU#060,Birmingham,deaf,56,F,Negated clause?,Single,NA,NA,me well (I don't know) so-what?,I don't know what to think about that.,1830,Neg/declarative,Absent,Present,None,NHS,Absent,NA,PRESSED-LIPS ,NA,Absent,"PT:PRO1SG, G:WELL, G:WELL","G:WELL, G:WELL","GH: Possibly more epistemic expression of doubt, not negation",Regular
BM06F56WDC_CLU#091,Birmingham,deaf,56,F,Negated clause,Single,NA,NA,(me) not-want them-come-to-me me-sitting-there,I didn't want the man to come to me!,1128,Neg/declarative,Single,Present,other,"HS?, NHS ",Present,CA:SIGNER,NA,don't want,Single,"WANT, DSEW(1-VERT)-MOVE:HUMAN, G:CA:HOLD-STEERING-WHEEL/DSH(FIST)-MOVE",DSEW(FLAT)-BE,NA,Regular
BM06F56WDC_CLU#104,Birmingham,deaf,56,F,Negated clause,Single,NA,NA,(car was) not old-ruined (no) ,"It was smart, not scruffy or anything. It was silver.",680,Neg/declarative,Single,Present,pre-predicate,HS,Present,NA,NA,not,Single,"NO, DREADFUL",DREADFUL,NA,Regular
BM06F56WDC_CLU#126,Birmingham,deaf,56,F,Negated clause,Single,NA,NA,tru-- true he stab-her or-not? (what if he didn't stab her?),We don't know that he did stab her.,1990,Neg/alternative,Single,Present,post-predicate (non-reprise & clause-final),HS,Present,CA:MAN-WHO-ALLEGEDLY-SHOT-JILL-DANDO,"SYLL:HALP, PRESSED-LIPS",but,Absent,"TRUE(FALSE-START), TRUE, PT:PRO3SG, G:CA:STAB/DSH(GRIP)-MOVE, NOTHING","TRUE, G:CA:STAB/DSH(GRIP)-MOVE",NA,Regular
BM06F56WDC_CLU#127,Birmingham,deaf,56,F,Negated clause,Single,NA,NA,(no) shot her or-not? (what if he didn't shoot her?),"No, shot her. ",1350,Neg/alternative,Single,Present,post-predicate (non-reprise & clause-final),HS,Present,NA,PRESSED-LIPS,NA,Absent,"GUN, PT:PRO3SG, NOTHING",NOTHING,NA,Regular
BM06F56WDC_CLU#133,Birmingham,deaf,56,F,Negated clause,Single,NA,NA,"me ""didn't! didn't!"" (shoot her)",He didn't think he should have been arrested.,1430,Neg/response,Single,Present,other,HS,Present,CD:MAN-WHO-ALLEGEDLY-SHOT-JILL-DANDO,NA,"me, di(dn't)",Single,"PT:PRO1SG, SHOULDN'T/G:DISMISS",NA,NA,Irregular
BM06F56WDC_CLU#134,Birmingham,deaf,56,F,Negated clause?,Single,NA,NA,nothing (he didn't protest his innocence at all),He didn't think he should have been arrested.,510,Neg/response,Single,Present,other,NHS,Absent,NA,NA,nothing,Single,NOTHING,NOTHING,NA,Regular
BM06F56WDC_CLU#135,Birmingham,deaf,56,F,Negated clause?,Single,NA,NA,but lucky him (in a way) well lucky or not...,"But, in a way, he was lucky. ",2790,Neg/alternative,Single,Present,post-predicate (non-reprise & clause-final),"Nod, HS",Present,NA,NA,NA,Absent,"BUT, LUCK, PT:PRO3SG, G:WELL, LUCK, PERHAPS","BUT, PT:PRO3SG, G:WELL",NA,Regular
BM06F56WDC_CLU#144,Birmingham,deaf,56,F,Negated clause,Single,NA,NA,me Wednesday never (go to Deaf club) me,I never went on Wednesdays because my parents both worked.,1510,Neg/declarative,Single,Present,other,HS,Present,NA,NA,"Wednesday, never, never-prog",Single,"PT:PRO1SG, WEDNESDAY, NEVER, PT:PRO1SG","WEDNESDAY, NEVER, PT:PRO1SG",NA,Regular
BM07M17WDC_CLU#016,Birmingham,deaf,17,M,Negated clause,Embed,contained,NA,no don't-want (go to London) off-away home,"On Saturday morning, some of my friends that didn't want to go to London went home.",1190,Neg/declarative,Single,Present,other,HS,Present,CA:SIGNER'S-FRIENDS,NA,"don't want, off off, home home",Single,"NO, WANT-NOT, GO, HOME02","NO, GO",NA,?
BM07M17WDC_CLU#019,Birmingham,deaf,17,M,Negated clause,Single,NA,NA,my friend they not-have money,One of my friends didn't have any money for the train.,1270,Neg/declarative,Single,Present,other,"NHS, HS",Present,NA,SYLL:POOH,"friend, money",Absent,"PT:POSS1SG, PARTNER, NOT-HAVE, MONEY02","FBUOY, PARTNER, PT:PRO3SG, MONEY02",NA,Irregular
BM07M17WDC_CLU#021,Birmingham,deaf,17,M,Negated clause,Single,NA,NA,but (he) not-have money,He didn't have any money.,1189,Neg/declarative,Single,Present,other,HS,Present,CA:SIGNER'S-FRIEND?,SYLL:POOH,money,Absent,"G:WELL, NOT-HAVE, MONEY02, G:WELL","G:WELL, FBUOY, MONEY02, G:WELL",NA,Irregular
BM07M17WDC_CLU#022,Birmingham,deaf,17,M,Negated clause,Single,NA,NA,he (no) dismiss-problem not buy train (ticket),He decided not to bother paying the train fare. ,1590,Neg/declarative,Single,Present,other,"HS, NHS ",Present,NA,SYLL:POOH,"pay, train",Absent,"PT:PRO3SG, G:DISMISS, NOT-HAVE, PAY, TRAIN","FBUOY, PAY, FBUOY",SS: I am not sure it look like what the translate says but could be that someone would not pay for a ticket,Irregular
BM07M17WDC_CLU#041,Birmingham,deaf,17,M,Negated clause ,Single ,NA,NA,(then) return-journey (back) me (no),But I had a day return instead. ,750,Neg/declarative,Absent,Present,None,HS,Present,NA,NA,the(n) back,Absent,"FROM-TO, PT:PRO1SG",FROM-TO,NA,Regular
BM07M17WDC_CLU#046,Birmingham,deaf,17,M,Negated clause?,Single,NA,NA,me well not-paying-attention,I wasn't paying attention when I bought it.,990,Neg/declarative,Single,Present,other,HS,Present,NA,NA,I,Absent,"PT:PRO1SG, PT:PRO1SG, INDECIPHERABLE, INATTENTION",INATTENTION,JF: UG could be removed,Regular
BM07M17WDC_CLU#053,Birmingham,deaf,17,M,Negated clause,Single,NA,NA,me (no) money nothing!,He had to get to London straight away but didn't have any money. ,590,Neg/response,Absent,Present,None,HS,Present,CD:SIGNER'S-FRIEND,NA,money,Absent,"PT:PRO1SG, MONEY02, G:WELL","PT:PRO1SG, MONEY02, G:WELL",NA,Regular
BM07M17WDC_CLU#068,Birmingham,deaf,17,M,Negated clause,Single,NA,NA,my friend London arrive not-yet,"When we got there, my friends from London hadn't arrived yet. ",1070,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS1 ",Present,NA,NA,"friend, lon(don), (ar)rive, (ar)rive-prog",Absent,"PT:POSS1SG, PARTNER, LONDON, ARRIVE, NOT-YET","PARTNER, ARRIVE",NA,Irregular
BM07M17WDC_CLU#126,Birmingham,deaf,17,M,Negated clause,Single,NA,NA,"(me) ""no no me not-want not-want!""",I really don't like it!,1550,Neg/declarative,Single,Present,other,HS,Present,CA:SIGNER,NA,NA,Absent,"NO, LIKE-NOT",G:CA:SHISHA/DSH(FIST)-MOVE ,NA,Irregular
BM07M17WDC_CLU#127,Birmingham,deaf,17,M,Negated clause,Single,NA,NA,"no, me grape no (not like)",I don't like grape or strawberry.,1403,Neg/response,Single,Present,other,"NHS, HS",Present,NA,NA,grapes,Absent,"PT:PRO1SG, GRAPES, NO",LBUOY-TWO02,MattB: not disjunction because negative scope,Regular
BM07M17WDC_CLU#128,Birmingham,deaf,17,M,Negated clause,Single,NA,NA,second strawberry no (not like),I don't like grape or strawberry.,670,Neg/response,Single,Present,other,"NHS, HS1",Present,NA,NA,NA,Absent,"PT:LBUOY, STRAWBERRY, NO",LBUOY-TWO02,MattB: not disjunction because negative scope,Regular
BM07M17WDC_CLU#131,Birmingham,deaf,17,M,Negated clause,Single,NA,NA,me not-yet try (me) not-yet (mint flavour),I haven't tried it yet.,1390,Neg/response,Multiple,Present,reprise (clause-final),HS,Present,NA,NA,"not yet, try, not",Single,"PT:PRO1SG, NOT-YET, TRY, NOT-YET","G:CA:SHISHA/DSH(FIST)-MOVE, NOT-YET, TRY",NA,Irregular
BM08M18AHC_CLU#058,Birmingham,hearing,18,M,Negated clause,Single,NA,NA,(me) not-have time (enough sleep),I didn't get much because we were partying at your house.,390,Neg/declarative,Single,Present,other,HS1,Present,NA,NA,"no, time",Single,"NOT-HAVE, TIME",TIME,NA,Irregular
BM08M18AHC_CLU#081,Birmingham,hearing,18,M,Negated clause,Single,NA,NA,me doing-nothing,I wasn't doing anything so I wondered what to do.,430,Neg/declarative,Single,Present,other,NHS,Absent,CA:SIGNER,NA,do nothing,Single,"PT:PRO1SG, NOTHING",NOTHING,NA,Regular
BM08M18AHC_CLU#100,Birmingham,hearing,18,M,Negated clause?,Single,NA,NA,(me) like feel foo-can't-be-bothered,I really didn't think I could be bothered.,1110,Neg/response,Single,Present,other,NHS,Absent,NA,SYLL:FOO,NA,Absent,"SAME, FEEL, CANT-BE-BOTHERED02, G:WELL",SAME,NA,Irregular
BM08M18AHC_CLU#101,Birmingham,hearing,18,M,Negated clause,Single,NA,NA,yes but me can't-be-bothered me!,"Yeah, but I couldn't be bothered.",1870,Neg/response,Single,Present,other,HS,Present,NA,SYLL:FOO,"yes, b(ut)",Absent,"YES, BUT, PT:PRO1SG, CANT-BE-BOTHERED02, PT:PRO1SG, G:WELL",G:WELL,NA,Irregular
